"","duration_ms","danceability","energy","loudness","tempo","valence","playlist_genre","track_popularity","track_album_release_date"
"43",150160,0.678,0.928,-3.66,116.892,0.663,"pop",62,"2019-10-18"
"44",194840,0.67,0.453,-11.265,135.055,0.68,"pop",83,"2019-07-11"
"45",177466,0.755,0.931,-4.104,122.041,0.288,"pop",55,"2019-11-01"
"46",218373,0.622,0.859,-7.626,121.968,0.442,"pop",61,"2019-05-24"
"47",144073,0.789,0.893,-4.364,121.956,0.41,"pop",56,"2019-10-25"
"48",193861,0.64,0.838,-4.203,124.081,0.587,"pop",57,"2019-08-09"
"49",200625,0.609,0.764,-4.564,128.082,0.531,"pop",56,"2019-06-14"
"50",166237,0.64,0.992,-3.318,123.951,0.479,"pop",53,"2019-09-27"
"51",171500,0.75,0.81,-4.607,120.038,0.48,"pop",56,"2019-01-25"
"52",266719,0.535,0.956,-2.996,127.984,0.12,"pop",34,"2019-11-12"
"53",204027,0.766,0.771,-9.108,140.036,0.297,"pop",74,"2019-04-29"
"54",203968,0.649,0.821,-4.952,125.977,0.394,"pop",46,"2019-11-15"
"55",190417,0.588,0.697,-4.744,125.157,0.225,"pop",63,"2018-10-19"
"56",237686,0.355,0.789,-4.358,80.444,0.169,"pop",55,"2019-12-12"
"57",180361,0.542,0.84,-5.283,118.02,0.509,"pop",52,"2019-11-01"
"58",139048,0.735,0.5,-11.297,126.1,0.119,"pop",67,"2019-11-01"
"59",279800,0.752,0.84,-4.451,124.002,0.461,"pop",63,"2019-08-09"
"60",217043,0.748,0.903,-5.877,115.018,0.751,"pop",60,"2019-08-23"
"61",230476,0.607,0.955,-3.613,125.984,0.501,"pop",45,"2019-12-27"
"62",188640,0.607,0.995,-2.325,124.998,0.664,"pop",58,"2019-07-11"
"63",196613,0.679,0.786,-6.918,126.092,0.47,"pop",51,"2019-09-12"
"64",210000,0.714,0.801,-5.8,124.015,0.292,"pop",58,"2019-11-15"
"65",187869,0.69,0.862,-4.154,121.975,0.453,"pop",56,"2018-09-28"
"66",273229,0.775,0.867,-7.388,128.956,0.565,"pop",60,"2019-03-27"
"67",255861,0.814,0.838,-5.547,121.978,0.959,"pop",48,"2019-10-11"
"68",216714,0.784,0.779,-5.48,124.994,0.459,"pop",56,"2019-10-04"
"69",192653,0.367,0.783,-4.504,88.013,0.289,"pop",56,"2019-09-13"
"70",238451,0.609,0.83,-3.759,117.833,0.604,"pop",65,"2018-02-09"
"71",217653,0.591,0.702,-5.59,104.003,0.501,"pop",39,"2019-05-31"
"72",174444,0.59,0.642,-3.87,107.356,0.651,"pop",83,"2019-05-24"
"73",156347,0.791,0.565,-3.933,99.961,0.181,"pop",83,"2019-03-08"
"74",165767,0.564,0.747,-3.374,97.878,0.717,"pop",71,"2019-07-12"
"75",201072,0.669,0.801,-5.445,109.919,0.541,"pop",81,"2019-04-12"
"76",223523,0.77,0.882,-4.792,99.991,0.385,"pop",85,"2019-05-31"
"77",238459,0.513,0.788,-4.629,139.987,0.234,"pop",76,"2019-03-27"
"78",191612,0.72,0.864,-3.249,96.048,0.659,"pop",71,"2019-05-03"
"79",173455,0.789,0.858,-4.388,110.012,0.491,"pop",65,"2019-10-04"
"80",209893,0.294,0.505,-8.106,85.332,0.357,"pop",67,"2019-07-24"
"81",228112,0.665,0.799,-2.868,101.976,0.5,"pop",74,"2019-06-21"
"82",220396,0.46,0.8,-3.584,102.46,0.553,"pop",81,"2019-03-22"
"83",180840,0.362,0.921,-3.815,172.191,0.529,"pop",71,"2019-06-14"
"84",214634,0.686,0.83,-4.437,123.032,0.486,"pop",75,"2019-10-18"
"85",210944,0.618,0.66,-8.14,105,0.408,"pop",73,"2019-05-23"
"86",190932,0.665,0.699,-5.265,124.896,0.585,"pop",79,"2018-10-18"
"87",197939,0.661,0.725,-4.859,119.927,0.605,"pop",74,"2018-03-16"
"88",192941,0.571,0.752,-4.872,102.043,0.25,"pop",63,"2019-03-01"
"89",215316,0.591,0.705,-6.519,121.799,0.27,"pop",79,"2019-04-19"
"90",193377,0.652,0.898,-4.481,114.043,0.472,"pop",16,"2018-11-09"
"91",201253,0.706,0.855,-5.377,107.184,0.293,"pop",75,"2018-09-27"
"92",220730,0.404,0.806,-4.75,148.036,0.112,"pop",75,"2019-08-16"
"93",185062,0.876,0.856,-3.884,121.991,0.685,"pop",55,"2019-07-12"
"94",157202,0.802,0.645,-6.181,100.001,0.376,"pop",30,"2019-04-10"
"95",159753,0.906,0.832,-3.004,104.03,0.751,"pop",62,"2019-07-12"
"96",184732,0.753,0.657,-3.061,107.01,0.437,"pop",84,"2018-01-23"
"97",160998,0.693,0.674,-4.449,95.972,0.378,"pop",70,"2019-09-27"
"98",226093,0.672,0.815,-6.476,115.033,0.341,"pop",37,"2019-07-12"
"99",205787,0.581,0.76,-3.962,104.099,0.523,"pop",70,"2019-10-24"
"100",216668,0.643,0.594,-5.453,144.033,0.442,"pop",74,"2019-05-13"
"101",178480,0.674,0.881,-2.853,98.994,0.234,"pop",85,"2019-01-18"
"102",182668,0.691,0.538,-9.952,99.972,0.329,"pop",36,"2019-06-18"
"103",224061,0.661,0.758,-5.299,114.098,0.387,"pop",52,"2019-09-06"
"104",178501,0.653,0.69,-5.003,110.214,0.652,"pop",58,"2019-10-11"
"105",154024,0.734,0.693,-6.474,110.021,0.55,"pop",72,"2019-06-14"
"106",197880,0.663,0.696,-5.994,139.98,0.449,"pop",64,"2018-08-31"
"107",170079,0.55,0.899,-3.284,125.85,0.408,"pop",63,"2019-01-25"
"108",193613,0.703,0.868,-4.661,121.03,0.733,"pop",77,"2017-03-02"
"109",207095,0.44,0.635,-6.385,128.133,0.327,"pop",76,"2019-02-21"
"110",248156,0.625,0.707,-4.761,138.064,0.479,"pop",74,"2017-03-03"
"111",202072,0.625,0.719,-5.541,101.091,0.326,"pop",56,"2019-07-12"
"112",186805,0.547,0.795,-3.721,118.118,0.723,"pop",77,"2019-10-25"
"113",208567,0.673,0.596,-7.891,123.969,0.19,"pop",71,"2019-02-14"
"114",184533,0.699,0.633,-6.547,123.449,0.458,"pop",64,"2019-05-17"
"115",198996,0.647,0.726,-4.389,114.996,0.767,"pop",82,"2019-05-31"
"116",238173,0.588,0.67,-6.439,118.159,0.505,"pop",81,"2018-09-06"
"117",215446,0.655,0.427,-11.684,107.992,0.224,"pop",41,"2018-01-25"
"118",189165,0.79,0.865,-4.159,122.99,0.362,"pop",62,"2018-12-07"
"119",200318,0.611,0.737,-5.154,124.169,0.574,"pop",5,"2019-02-27"
"120",160312,0.726,0.763,-6.872,128.02,0.516,"pop",72,"2019-10-25"
"121",219521,0.714,0.705,-6.479,114.994,0.471,"pop",24,"2019-08-16"
"122",207428,0.619,0.938,-5.245,94.38,0.601,"pop",58,"2017-10-13"
"123",179531,0.575,0.808,-4.578,127.922,0.232,"pop",65,"2019-07-12"
"124",166000,0.768,0.808,-1.818,119.971,0.664,"pop",64,"2019-03-08"
"125",203200,0.767,0.605,-5.737,107.042,0.657,"pop",53,"2019-08-09"
"126",239067,0.466,0.612,-4.855,128.114,0.236,"pop",72,"2019-08-16"
"127",147554,0.434,0.917,-3.613,121.967,0.622,"pop",39,"2019-04-12"
"128",188640,0.744,0.79,-4.617,125.002,0.847,"pop",75,"2019-04-05"
"129",157159,0.837,0.818,-4.474,109.993,0.484,"pop",60,"2019-05-30"
"130",228502,0.514,0.856,-4.285,117.014,0.351,"pop",18,"2019-08-02"
"131",210091,0.69,0.622,-5.025,102.04,0.544,"pop",79,"2017-02-23"
"132",187150,0.466,0.869,-4.275,126.113,0.185,"pop",60,"2019-10-25"
"133",212500,0.842,0.801,-4.167,95.881,0.617,"pop",83,"2018-09-28"
"134",244960,0.748,0.524,-5.599,95.01,0.661,"pop",85,"2016-07-29"
"135",243091,0.647,0.624,-8.446,115.002,0.477,"pop",47,"2014-10-13"
"136",271427,0.509,0.781,-3.48,128,0.176,"pop",74,"2012-01-01"
"137",222653,0.737,0.636,-4.546,105.005,0.565,"pop",80,"2018-05-17"
"138",220883,0.584,0.54,-7.786,137.972,0.195,"pop",81,"2017-01-27"
"139",189467,0.743,0.733,-5.337,104.977,0.622,"pop",76,"2017-08-17"
"140",221714,0.721,0.716,-7.037,104.994,0.667,"pop",96,"2019-10-12"
"141",213309,0.781,0.768,-5.991,123.07,0.486,"pop",84,"2018-08-17"
"142",208474,0.737,0.828,-4.711,124.052,0.517,"pop",86,"2019-09-13"
"143",239853,0.57,0.763,-4.137,150.088,0.43,"pop",68,"2017-02-10"
"144",194907,0.551,0.651,-5.828,144.875,0.562,"pop",66,"2017-06-09"
"145",247160,0.617,0.635,-6.769,103.019,0.446,"pop",83,"2017-04-07"
"146",214847,0.791,0.862,-3.24,123.994,0.592,"pop",85,"2018-04-06"
"147",210013,0.503,0.748,-4.124,125.896,0.356,"pop",73,"2015-05-26"
"148",220781,0.64,0.533,-6.596,99.968,0.515,"pop",69,"2017-02-17"
"149",251627,0.658,0.677,-6.628,124.91,0.248,"pop",69,"2012-01-01"
"150",205947,0.649,0.716,-5.371,99.988,0.163,"pop",81,"2016-08-05"
"151",226739,0.713,0.802,-7.055,100.001,0.343,"pop",73,"2015-06-16"
"153",255632,0.503,0.727,-5.456,121.985,0.521,"pop",19,"2013-01-01"
"154",195000,0.609,0.726,-4.346,93.958,0.362,"pop",57,"2018-09-14"
"155",200787,0.654,0.76,-3.669,99.945,0.41,"pop",81,"2015-11-13"
"156",222160,0.63,0.928,-2.787,123.963,0.465,"pop",79,"2016-04-29"
"157",247427,0.532,0.783,-5.697,124.08,0.643,"pop",84,"2013-01-01"
"158",184560,0.694,0.77,-5.335,125.905,0.163,"pop",84,"2018-06-08"
"159",245040,0.604,0.787,-3.674,126.062,0.301,"pop",66,"2011-08-26"
"160",242520,0.432,0.74,-5.053,139.42,0.193,"pop",8,"2015-11-13"
"161",227893,0.638,0.832,-5.039,124.071,0.648,"pop",64,"2010-01-01"
"162",209733,0.759,0.716,-6.36,105.009,0.469,"pop",61,"2017-09-28"
"163",213169,0.614,0.832,-3.419,129.038,0.429,"pop",27,"2012-01-01"
"164",237547,0.669,0.832,-5.72,113.035,0.7,"pop",74,"2016-09-23"
"165",286322,0.702,0.781,-4.081,102.997,0.382,"pop",57,"2012-01-01"
"166",237200,0.851,0.806,-4.618,119.001,0.776,"pop",69,"2008-01-01"
"167",212640,0.738,0.868,-4.373,122.003,0.336,"pop",77,"2015-07-17"
"168",208222,0.57,0.672,-5.89,120.019,0.448,"pop",74,"2020-01-10"
"169",206440,0.67,0.89,-3.785,124.967,0.568,"pop",5,"2019-09-27"
"170",231480,0.708,0.727,-7.647,120.012,0.512,"pop",57,"2019-09-12"
"171",164490,0.654,0.787,-4.999,123.978,0.409,"pop",68,"2019-12-20"
"172",168547,0.945,0.584,-7.649,124.996,0.626,"pop",65,"2019-07-26"
"173",155238,0.704,0.929,-4.447,126.055,0.633,"pop",58,"2019-01-25"
"174",184558,0.765,0.906,-2.097,96.071,0.95,"pop",81,"2019-07-05"
"175",198743,0.682,0.855,-3.282,124.004,0.304,"pop",68,"2020-01-10"
"176",159194,0.627,0.662,-7.104,124.039,0.596,"pop",43,"2019-06-21"
"177",165714,0.762,0.736,-7.66,126.007,0.248,"pop",57,"2019-12-20"
"178",183653,0.577,0.844,-3.364,115.066,0.283,"pop",58,"2019-07-19"
"179",202500,0.632,0.816,-4.584,127.95,0.134,"pop",58,"2019-12-19"
"180",168387,0.598,0.526,-8.659,123.935,0.529,"pop",91,"2019-10-11"
"181",184582,0.825,0.841,-6.433,126.026,0.616,"pop",67,"2019-07-19"
"182",240000,0.63,0.731,-4.985,119.997,0.46,"pop",42,"2019-09-19"
"183",198839,0.795,0.899,-4.202,125.978,0.329,"pop",70,"2019-08-29"
"184",257943,0.529,0.717,-7.049,103.99,0.481,"pop",64,"2017-04-28"
"185",190302,0.7,0.872,-5.896,125.03,0.761,"pop",79,"2018-11-02"
"186",154654,0.791,0.541,-7.14,115.987,0.433,"pop",48,"2020-01-10"
"187",179016,0.904,0.633,-5.545,121.995,0.492,"pop",53,"2019-12-20"
"188",167859,0.744,0.725,-6.055,118.034,0.904,"pop",75,"2019-12-13"
"189",154286,0.772,0.687,-6.348,118.116,0.59,"pop",46,"2019-11-08"
"190",183183,0.706,0.524,-8.804,111.991,0.296,"pop",67,"2019-10-04"
"191",216256,0.664,0.699,-7.115,122.019,0.252,"pop",65,"2019-12-18"
"192",158091,0.781,0.745,-4.942,110.051,0.498,"pop",56,"2019-12-20"
"193",203227,0.789,0.547,-8.738,120.024,0.48,"pop",42,"2019-08-28"
"194",179531,0.575,0.808,-4.578,127.922,0.232,"pop",58,"2019-10-25"
"195",185943,0.669,0.797,-5.68,119.865,0.552,"pop",74,"2019-05-09"
"196",208367,0.567,0.946,-2.245,104.983,0.295,"pop",65,"2019-05-02"
"197",204591,0.653,0.757,-3.642,128.015,0.233,"pop",64,"2019-09-27"
"198",169964,0.721,0.779,-4.239,110.026,0.327,"pop",51,"2019-10-18"
"199",172520,0.534,0.765,-3.151,127.978,0.117,"pop",63,"2018-11-09"
"200",236765,0.651,0.693,-4.722,118.97,0.392,"pop",83,"2019-10-31"
"201",153231,0.682,0.923,-3.273,130.052,0.37,"pop",55,"2019-11-29"
"202",167249,0.66,0.827,-5.081,115.349,0.611,"pop",39,"2019-10-18"
"203",291785,0.57,0.965,-4.881,123.008,0.148,"pop",48,"2019-10-04"
"204",182000,0.608,0.918,-1.137,126.022,0.422,"pop",59,"2019-12-06"
"205",242385,0.561,0.562,-11.431,151.631,0.244,"pop",64,"2019-12-11"
"206",177638,0.591,0.88,-5.153,127.013,0.482,"pop",42,"2019-11-15"
"207",160184,0.626,0.8,-3.988,127.966,0.258,"pop",70,"2018-01-26"
"208",204693,0.745,0.8,-5.606,122.008,0.314,"pop",57,"2019-07-19"
"209",225160,0.66,0.857,-5.219,130.069,0.233,"pop",21,"2019-07-12"
"210",238338,0.53,0.729,-6.019,139.929,0.219,"pop",68,"2019-10-24"
"211",131204,0.552,0.887,-3.812,125.229,0.783,"pop",63,"2019-08-08"
"212",170000,0.471,0.911,-4.372,126.112,0.197,"pop",54,"2019-05-31"
"213",147027,0.747,0.776,-5.898,125.07,0.67,"pop",79,"2019-11-22"
"214",204514,0.712,0.664,-8.026,122.014,0.781,"pop",72,"2019-12-06"
"215",147840,0.733,0.859,-5.03,124.948,0.52,"pop",80,"2019-04-05"
"216",157333,0.517,0.793,-5.851,90.06,0.176,"pop",47,"2019-02-22"
"217",200640,0.675,0.674,-6.329,125.037,0.414,"pop",19,"2019-03-01"
"218",160794,0.818,0.823,-3.563,128.136,0.52,"pop",79,"2019-11-22"
"219",225000,0.639,0.591,-3.905,128.002,0.305,"pop",59,"2019-11-08"
"220",178671,0.535,0.906,-4.699,126.012,0.732,"pop",68,"2019-07-26"
"221",176219,0.784,0.721,-5.457,121.966,0.895,"pop",72,"2019-09-13"
"222",142230,0.809,0.758,-5.658,125.022,0.71,"pop",66,"2019-11-15"
"223",220205,0.669,0.793,-6.16,121.995,0.159,"pop",59,"2020-01-03"
"224",179151,0.578,0.786,-4.665,105.945,0.347,"pop",64,"2019-04-05"
"225",223533,0.733,0.839,-2.84,126.009,0.471,"pop",9,"2019-02-01"
"226",196475,0.63,0.726,-3.753,122.055,0.499,"pop",41,"2019-05-02"
"227",195924,0.845,0.766,-5.727,114.054,0.782,"pop",69,"2019-09-27"
"228",183934,0.679,0.866,-3.754,121.927,0.441,"pop",66,"2019-07-05"
"229",195000,0.657,0.882,-3.565,127.994,0.179,"pop",68,"2019-01-04"
"230",193548,0.493,0.773,-3.791,123.149,0.301,"pop",66,"2019-05-10"
"231",127826,0.687,0.706,-5.357,115.268,0.27,"pop",63,"2019-05-10"
"232",184027,0.654,0.874,-3.885,119.85,0.542,"pop",68,"2019-04-26"
"233",224061,0.661,0.758,-5.299,114.098,0.387,"pop",23,"2019-09-06"
"234",175312,0.447,0.684,-4.721,125.655,0.437,"pop",67,"2019-05-30"
"235",179016,0.731,0.802,-4.763,121.991,0.434,"pop",62,"2019-05-10"
"236",190645,0.489,0.766,-5.84,121.445,0.117,"pop",9,"2019-04-12"
"237",157024,0.6,0.888,-4.612,126.056,0.641,"pop",59,"2019-02-15"
"238",188656,0.687,0.707,-6.19,127.033,0.607,"pop",71,"2019-07-18"
"239",208947,0.711,0.724,-4.809,104.048,0.478,"pop",21,"2018-11-09"
"240",211362,0.693,0.575,-6.998,117.999,0.492,"pop",81,"2018-10-26"
"241",184564,0.683,0.785,-4.879,122.997,0.581,"pop",69,"2019-08-16"
"242",167990,0.638,0.818,-4.517,126.015,0.489,"pop",56,"2019-04-04"
"243",163000,0.707,0.806,-4.777,119.972,0.634,"pop",56,"2019-07-19"
"244",185714,0.59,0.888,-2.851,126.094,0.288,"pop",60,"2019-01-11"
"245",201905,0.632,0.574,-8.584,125.989,0.557,"pop",40,"2019-05-31"
"246",183360,0.703,0.879,-4.514,124.972,0.542,"pop",57,"2019-06-28"
"247",212280,0.79,0.746,-5.96,124.971,0.538,"pop",70,"2019-09-27"
"248",176098,0.733,0.718,-7.149,122.993,0.206,"pop",63,"2019-05-17"
"249",193137,0.728,0.848,-6.248,124.993,0.612,"pop",65,"2019-04-24"
"250",183341,0.502,0.78,-4.547,122.688,0.607,"pop",56,"2019-06-07"
"251",132233,0.638,0.708,-5.001,103.16,0.582,"pop",2,"2018-09-28"
"252",196493,0.685,0.712,-4.302,114.989,0.483,"pop",53,"2018-06-29"
"253",221773,0.62,0.906,-3.638,123.047,0.398,"pop",11,"2018-10-26"
"254",190295,0.601,0.775,-4.612,119.964,0.483,"pop",77,"2018-08-31"
"255",193640,0.762,0.665,-6.92,115.946,0.961,"pop",56,"2019-01-25"
"256",156168,0.684,0.95,-2.588,125.974,0.436,"pop",65,"2019-03-08"
"257",186094,0.65,0.819,-3.811,128.09,0.351,"pop",34,"2019-03-08"
"258",170103,0.448,0.836,-6.495,122.899,0.482,"pop",54,"2019-03-21"
"259",196571,0.712,0.646,-4.23,104.998,0.607,"pop",51,"2018-10-19"
"260",180571,0.674,0.854,-5.253,111.969,0.503,"pop",50,"2019-06-21"
"261",217804,0.739,0.622,-5.382,119.992,0.615,"pop",52,"2018-12-07"
"262",192402,0.647,0.795,-3.548,127.992,0.409,"pop",76,"2019-02-08"
"263",205653,0.669,0.895,-3.787,124.964,0.576,"pop",75,"2019-05-24"
"264",169000,0.792,0.724,-5.108,109.984,0.429,"pop",52,"2019-03-29"
"265",200893,0.706,0.931,-3.053,123.012,0.465,"pop",62,"2019-07-05"
"266",226875,0.645,0.795,-5.439,127.959,0.424,"pop",65,"2018-08-16"
"267",191786,0.662,0.823,-4.7,118.958,0.435,"pop",62,"2019-11-01"
"268",174545,0.673,0.885,-3.574,121.082,0.704,"pop",10,"2019-08-02"
"269",198750,0.516,0.857,-3.432,127.949,0.448,"pop",55,"2019-05-31"
"270",206875,0.686,0.613,-5.614,104.988,0.452,"pop",49,"2019-02-01"
"271",186750,0.503,0.754,-3.634,116.524,0.597,"pop",70,"2020-01-10"
"272",234609,0.382,0.698,-3.409,127.816,0.151,"pop",61,"2019-06-21"
"273",174444,0.59,0.642,-3.87,107.356,0.651,"pop",75,"2019-08-16"
"274",186000,0.708,0.825,-3.117,109.991,0.662,"pop",60,"2019-03-29"
"275",191650,0.588,0.757,-2.415,122.813,0.836,"pop",63,"2018-06-15"
"276",184020,0.636,0.63,-6.396,104.845,0.454,"pop",73,"2018-09-21"
"277",195947,0.682,0.786,-4.87,91.042,0.664,"pop",60,"2018-11-23"
"278",182161,0.639,0.705,-5.039,124.957,0.595,"pop",62,"2019-07-26"
"279",176773,0.815,0.647,-7.162,125.95,0.182,"pop",67,"2019-06-21"
"280",186667,0.696,0.907,-4.157,125.932,0.466,"pop",61,"2019-03-22"
"281",164010,0.659,0.617,-5.862,119.858,0.187,"pop",71,"2018-06-22"
"282",277262,0.592,0.873,-5.65,122.011,0.516,"pop",80,"2019-06-06"
"283",167912,0.651,0.617,-6.077,121.977,0.591,"pop",68,"2018-07-27"
"284",155520,0.707,0.585,-11.024,125.161,0.277,"pop",60,"2019-08-16"
"285",211040,0.673,0.687,-5.295,96.964,0.524,"pop",66,"2019-03-01"
"286",169467,0.567,0.765,-4.107,121.924,0.541,"pop",75,"2019-07-12"
"287",187301,0.768,0.83,-4.983,126.007,0.444,"pop",58,"2018-11-01"
"288",163636,0.734,0.765,-5.562,109.989,0.518,"pop",74,"2018-06-22"
"289",180485,0.689,0.901,-1.431,125.115,0.651,"pop",68,"2018-03-23"
"290",194618,0.676,0.582,-7.58,124.012,0.447,"pop",72,"2019-03-29"
"291",197876,0.686,0.693,-6.245,124.206,0.699,"pop",70,"2018-10-12"
"292",178512,0.763,0.674,-5.146,105.027,0.759,"pop",58,"2019-08-30"
"293",180820,0.6,0.754,-4.204,128.044,0.641,"pop",67,"2018-03-02"
"294",158095,0.691,0.924,-3.839,125.983,0.34,"pop",62,"2018-10-19"
"295",196475,0.63,0.726,-3.753,122.055,0.499,"pop",56,"2019-05-02"
"296",218480,0.734,0.921,-1.936,120.056,0.654,"pop",65,"2018-09-28"
"297",214641,0.605,0.854,-4.128,124.024,0.165,"pop",51,"2019-03-15"
"298",181875,0.609,0.523,-12.649,127.977,0.342,"pop",54,"2019-03-22"
"299",223533,0.733,0.839,-2.84,126.009,0.471,"pop",61,"2019-02-01"
"300",211680,0.43,0.606,-5.115,169.988,0.123,"pop",76,"2018-12-14"
"301",163805,0.661,0.723,-6.976,113.778,0.316,"pop",83,"2019-04-25"
"302",163216,0.752,0.764,-4.399,121.958,0.582,"pop",63,"2017-10-27"
"303",157000,0.704,0.888,-2.872,125.027,0.531,"pop",70,"2019-03-15"
"304",184653,0.655,0.713,-6.293,94.05,0.61,"pop",70,"2019-06-07"
"305",177073,0.732,0.734,-6.423,123.033,0.643,"pop",56,"2017-09-08"
"306",169157,0.619,0.735,-3.925,119.981,0.668,"pop",65,"2018-05-04"
"307",174933,0.746,0.846,-2.432,114.955,0.403,"pop",61,"2016-11-04"
"308",202520,0.776,0.809,-5.726,100.071,0.582,"pop",60,"2017-08-25"
"309",181040,0.621,0.898,-4.569,124.018,0.332,"pop",63,"2019-04-12"
"310",168636,0.767,0.674,-6.246,121.011,0.221,"pop",54,"2018-08-31"
"311",198880,0.655,0.672,-4.966,98.005,0.675,"pop",70,"2018-12-14"
"312",181960,0.638,0.656,-5.299,103.081,0.271,"pop",6,"2018-11-23"
"313",217293,0.689,0.505,-6.389,99.017,0.312,"pop",70,"2017-11-03"
"314",179500,0.445,0.597,-6.724,175.903,0.263,"pop",54,"2018-04-20"
"315",229184,0.807,0.887,-4.311,122.015,0.606,"pop",83,"2019-01-11"
"316",216000,0.684,0.823,-4.881,117.993,0.384,"pop",53,"2018-06-01"
"317",167871,0.653,0.708,-5.385,111.924,0.347,"pop",55,"2017-06-09"
"318",181673,0.662,0.858,-4.844,133.993,0.295,"pop",81,"2017-08-10"
"319",222000,0.691,0.821,-4.527,104.961,0.759,"pop",58,"2016-10-07"
"320",161280,0.717,0.716,-5.485,125.064,0.206,"pop",75,"2019-08-30"
"321",236853,0.677,0.497,-5.763,99.137,0.419,"pop",73,"2017-09-21"
"322",212733,0.715,0.605,-5.128,122.956,0.454,"pop",73,"2018-11-30"
"323",157005,0.572,0.713,-4.826,89.996,0.559,"pop",57,"2017-09-01"
"324",203000,0.645,0.741,-4.989,123.07,0.534,"pop",25,"2017-05-24"
"325",150005,0.497,0.924,-3.43,120.018,0.283,"pop",55,"2019-06-07"
"326",176658,0.527,0.835,-5.298,125.983,0.654,"pop",80,"2014-01-01"
"327",201257,0.401,0.872,-3.641,104.592,0.472,"pop",69,"2017-07-14"
"328",184134,0.738,0.794,-4.118,104.014,0.566,"pop",74,"2018-11-09"
"329",166947,0.702,0.903,-3.921,125.948,0.66,"pop",65,"2018-02-16"
"330",240617,0.814,0.705,-4.734,110.004,0.6,"pop",50,"2018-02-23"
"331",208107,0.724,0.733,-5.539,125.993,0.672,"pop",66,"2019-07-12"
"332",212280,0.771,0.826,-3.978,100.012,0.185,"pop",71,"2019-06-21"
